Category,Plastic_energy_demand,Alternative_energy_demand,Plastic_energy_expended,Alternative_energy_expended,Plastic_weight,Alternative_weight,Plastic_water_consumption,Alternative_water_consumption,Plastic_solid_waste_weight,Alternative_solid_waste_weight,Plastic_solid_waste_volume,Alternative_solid_waste_volume,Plastic_warming_potential,Alternative_warming_potential
Caps_and_Closures,5.96,2.47,2.78,2.43,62,48,1910,781,64.6,67.5,0.18,0.086,0.16,0.13
Beverage_Containers,20,33.5,13.2,31.2,341,1603,11675,14905,177,776,0.71,1.08,0.85,1.62
Stretch_and_shrink,7.05,26.4,3.11,20.2,83,708,1695,11359,74,493,0.18,0.83,0.21,0.69
Carrier_bags,9.29,17.9,4.12,15.8,143,269,2694,87533,105,264,0.25,0.44,0.31,0.15
Other_flexible,46.9,125,20.9,95.1,532,1954,11958,28096,554,2761,1.33,4.42,1.37,2.29
Other_rigid,42.7,49.4,22.8,47.3,470,2546,16547,36959,417,1079,1.88,1.41,1.4,3.07
