Year,Coal,Oil,Gas,Nuclear,Hydro,Solar,Wind,Biomass,Geothermal
2019,995840.00,108.00,48497.00,46381.00,165336.00,50103.00,64639.00,13843.00,0.00
2018,1021997.00,129.00,49886.00,37706.00,143743.00,39268.00,62036.00,16325.00,0.00
2017,986591.00,386.00,50208.00,38346.00,131179.00,25871.00,52666.00,15252.00,0.00
2016,944850.00,262.00,49100.00,37663.00,129986.00,12086.00,46011.00,14159.00,0.00
2015,896260.00,406.00,47122.00,37413.00,129732.00,7450.00,28604.00,16681.00,0.00
2014,835838.00,1407.00,41075.00,36102.00,137304.00,4600.00,28214.00,14944.00,0.00
2013,746087.00,1868.00,44522.00,34228.00,134847.00,3350.00,0.00,0.00,0.00
2012,691341.00,2449.00,66664.00,32866.00,113720.00,0.00,0.00,0.00,0.00
2011,612497.00,2649.00,93281.00,32286.00,130511.00,0.00,0.00,0.00,0.00
