Year,total_values,plastic_bag_values,K_plastic_bag,paper_bag_values,K_paper_bag
2016,1018135301,427616826.41999996,1.7047972740062037e-12,1003380.96,2.8802619495590196e-10
2017,1088054864,456983042.88,1.5952451876675638e-12,1047228.45,2.7596652860223576e-10
2018,1194870676,501845683.91999996,1.4526377796171522e-12,1077215.04,2.68284408654376e-10
2019,1170257506,491508152.52,1.4831900473315875e-12,1067104.76,2.708262682662947e-10
2020,1078271226,452873914.91999996,1.6097195620745292e-12,1102723.16,2.620784712638121e-10
