Country,product,Year,qty_thousands,price_per_thousands,US_inflation_adjusted_price,country_category
Finland,paper bag,2016,30.26755905511811,142.875,155.9971781599052,EU
Finland,plastic bag,2016,0.03,1370.78,1496.6775984464382,EU
France,textile bag,2016,0.09759999999999999,8450.0,9226.079828179869,EU
France,paper bag,2016,163.33811023622047,229.23499999999999,250.2888058476701,EU
France,plastic bag,2016,135.28,70.78,77.2807018033812,EU
Germany,textile bag,2016,0.16349,8800.0,9608.225146506846,EU
Germany,paper bag,2016,1317.2850393700787,194.945,212.84948308929285,EU
Germany,plastic bag,2016,1887.98,21.52,23.496477858275835,EU
Greece,paper bag,2016,0.766771653543307,183.51500000000001,200.36970883650045,EU
Greece,plastic bag,2016,31.17,31.35,34.22930208443064,EU
Hungary,textile bag,2016,0.00348,5370.0,5863.201026902474,EU
Hungary,paper bag,2016,2.2426771653543307,500.38,546.3367839555791,EU
Hungary,plastic bag,2016,141.15,0.73,0.7970459496534088,EU
India,textile bag,2016,1.76297,1820.0,1987.1556553002797,India
India,paper bag,2016,123.16582677165354,134.62,146.98400786622182,India
India,plastic bag,2016,5711.8,10.65,11.628136114806583,India
Ireland,textile bag,2016,0.00011999999999999999,7840.0,8560.055130524283,EU
Ireland,paper bag,2016,1.4129133858267717,201.93,220.4760117993327,EU
Ireland,plastic bag,2016,2.43,196.17,214.18699170343726,EU
Italy,textile bag,2016,0.28625,8140.000000000001,8887.608260518835,EU
Italy,paper bag,2016,297.2763779527559,140.97,153.9172157844398,EU
Italy,plastic bag,2016,106.42,10.54,11.508033300475248,EU
Latvia,paper bag,2016,0.011181102362204725,1712.595,1869.8861755433968,EU
Lithuania,textile bag,2016,0.00016,17280.0,18867.060287686174,EU
Lithuania,paper bag,2016,0.008346456692913387,1517.6499999999999,1657.036692454104,EU
Luxembourg,paper bag,2016,0.5228346456692914,124.46,135.89087519707297,EU
Netherlands,textile bag,2016,0.04782,2820.0,3078.9994219487853,EU
Netherlands,paper bag,2016,82.54692913385826,210.82,230.1825028848379,EU
Netherlands,plastic bag,2016,81.02,44.59,48.68531355485685,EU
Poland,textile bag,2016,0.02634,8210.0,8964.03732418423,EU
Poland,paper bag,2016,24.896062992125987,330.835,361.2201325391582,EU
Poland,plastic bag,2016,4.93,202.15,220.7162174279954,EU
Portugal,textile bag,2016,0.03254,15210.0,16606.943690723765,EU
Portugal,paper bag,2016,10.714330708661418,183.51500000000001,200.36970883650045,EU
Portugal,plastic bag,2016,1.8,39.48,43.10599190728299,EU
Romania,textile bag,2016,0.00412,43700.0,47713.57260253968,EU
Romania,paper bag,2016,0.1537007874015748,125.73,137.2775167807166,EU
Romania,plastic bag,2016,0.13,25.24,27.558136670208274,EU
Slovakia,paper bag,2016,0.2628346456692914,767.08,837.5315165207355,EU
Slovakia,plastic bag,2016,0.2,107.84,117.74443179537482,EU
Slovenia,paper bag,2016,0.12330708661417324,542.29,592.095956215818,EU
Slovenia,plastic bag,2016,0.26,732.08,799.3169846880378,EU
Spain,textile bag,2016,0.0587,7540.0,8232.50200052973,EU
Spain,paper bag,2016,155.30425196850393,198.755,217.00940784022367,EU
Spain,plastic bag,2016,182.73,37.3,40.72577249598925,EU
Sweden,textile bag,2016,0.0020499999999999997,12980.0,14172.1320910976,EU
Sweden,paper bag,2016,27.983464566929136,205.74,224.6359365502635,EU
Sweden,plastic bag,2016,53.98,14.13,15.42775242274338,EU
Austria,textile bag,2017,0.006889999999999999,4440.0,4787.46427406613,EU
Austria,paper bag,2017,107.52535433070865,130.81,141.04689227265555,EU
Austria,plastic bag,2017,0.56,54.88,59.174783639808396,EU
Belgium,textile bag,2017,0.009630000000000001,5240.0,5650.070449573541,EU
Belgium,paper bag,2017,15.764251968503936,623.57,672.3691660764454,EU
Belgium,plastic bag,2017,29.51,100.09,107.92281513317097,EU
Bulgaria,paper bag,2017,0.012598425196850395,4004.945,4318.36286195941,EU
Bulgaria,plastic bag,2017,1.86,11.33,12.216659960623707,EU
China,textile bag,2017,238.4983,2770.0,2986.7738826944105,China
China,paper bag,2017,2839.656377952756,229.23499999999999,247.17440830305165,China
China,plastic bag,2017,82361.22,9.93,10.707099153485737,China
Croatia,plastic bag,2017,5.48,4.98,5.369723442533633,EU
Cyprus,paper bag,2017,0.29259842519685036,278.765,300.5805131441543,EU
Czech Republic,textile bag,2017,0.00553,5960.0,6426.416007530211,EU
Czech Republic,paper bag,2017,11.263779527559056,156.21,168.43463834501583,EU
Czech Republic,plastic bag,2017,0.02,1761.94,1899.8254060919094,EU
Denmark,textile bag,2017,0.0034100000000000003,5360.0,5779.461375899654,EU
Denmark,paper bag,2017,13.553700787401574,300.99,324.5447909574695,EU
Denmark,plastic bag,2017,28.73,25.54,27.538702153074095,EU
Estonia,textile bag,2017,0.00429,134350.0,144863.9245992758,EU
Finland,textile bag,2017,0.004059999999999999,7010.0,7558.586612883689,EU
Finland,paper bag,2017,22.431496062992128,141.605,152.6866843534086,EU
Finland,plastic bag,2017,0.05,819.52,883.6537661897919,EU
France,textile bag,2017,0.04852,14670.0,15818.040743367148,EU
France,paper bag,2017,165.66267716535432,235.585,254.02134482114178,EU
France,plastic bag,2017,124.44,61.5,66.31284974213223,EU
Germany,textile bag,2017,0.09136,7330.0,7903.629083086652,EU
Germany,paper bag,2017,1138.3061417322835,226.695,244.43563369581562,EU
Germany,plastic bag,2017,1188.23,27.39,29.53347893393498,EU
Greece,paper bag,2017,0.26881889763779526,306.07,330.02234017194155,EU
Greece,plastic bag,2017,12.89,92.52,99.76040419743208,EU
Hungary,textile bag,2017,0.00015,163960.0,176791.13567024388,EU
Hungary,paper bag,2017,0.6426771653543307,423.545,456.690665756608,EU
Hungary,plastic bag,2017,78.35,0.97,1.0459099878027358,EU
India,textile bag,2017,1.88091,1910.0,2059.4722440239434,India
India,paper bag,2017,108.74062992125984,130.81,141.04689227265555,India
India,plastic bag,2017,6965.01,9.59,10.34049152889509,India
Ireland,textile bag,2017,8e-05,31930.0,34428.76897993954,EU
Ireland,paper bag,2017,7.162204724409449,134.62,145.15505418350955,EU
Ireland,plastic bag,2017,45.85,8.33,8.981886802470916,EU
Italy,textile bag,2017,0.07987999999999999,19320.0,20831.939138503974,EU
Italy,paper bag,2017,257.0155905511811,171.45000000000002,184.86728598843203,EU
Italy,plastic bag,2017,406.08,6.27,6.760675900539332,EU
Latvia,paper bag,2017,0.0352755905511811,1262.3799999999999,1361.1709797963065,EU
Lithuania,textile bag,2017,1e-05,170780.0,184144.85331644458,EU
Lithuania,paper bag,2017,0.041417322834645665,1226.82,1322.8281352950023,EU
Luxembourg,paper bag,2017,0.0011023622047244095,37446.585,40377.06934082897,EU
Netherlands,textile bag,2017,0.00741,9490.0,10232.665756956661,EU
Netherlands,paper bag,2017,101.16283464566929,185.42,199.93054632823015,EU
Netherlands,plastic bag,2017,91.36,39.13,42.192224559506236,EU
Poland,textile bag,2017,0.026690000000000002,10810.0,11655.965946543889,EU
Poland,paper bag,2017,38.23338582677166,367.665,396.43762439741533,EU
Poland,plastic bag,2017,25.85,53.8,58.01026530287338,EU
Portugal,textile bag,2017,0.04347,10750.0,11591.270483380833,EU
Portugal,paper bag,2017,11.286299212598424,196.215,211.5703384089833,EU
Portugal,plastic bag,2017,0.49,184.74,199.19733107904887,EU
Romania,textile bag,2017,0.0003,92250.0,99469.27461319831,EU
Romania,paper bag,2017,0.1377952755905512,861.695,929.1292855048232,EU
Romania,plastic bag,2017,0.06,76.33,82.30341172060085,EU
Slovakia,paper bag,2017,0.554488188976378,894.715,964.7333553988915,EU
Slovakia,plastic bag,2017,0.32,28.58,30.816605620002253,EU
Slovenia,paper bag,2017,0.14803149606299212,307.34,331.39172747555955,EU
Slovenia,plastic bag,2017,0.05,1856.91,2002.227541701833,EU
Spain,textile bag,2017,0.060200000000000004,6530.0,7041.022907579241,EU
Spain,paper bag,2017,152.56755905511812,186.055,200.61523998003918,EU
Spain,plastic bag,2017,252.54,26.2,28.250352247867706,EU
Sweden,textile bag,2017,0.00852,5640.0,6081.3735373272475,EU
Sweden,paper bag,2017,20.88236220472441,248.285,267.71521785732193,EU
Sweden,plastic bag,2017,14.71,59.29,63.92990018229299,EU
Austria,textile bag,2018,0.00281,8130.000000000001,8583.408654258361,EU
Austria,paper bag,2018,40.280629921259845,161.29,170.28511461812187,EU
Austria,plastic bag,2018,0.48,344.83,364.06110777957076,EU
Belgium,textile bag,2018,0.056420000000000005,3360.0,3547.3866024979197,EU
Belgium,paper bag,2018,47.46834645669291,271.78000000000003,286.93712226990624,EU
Belgium,plastic bag,2018,109.59,26.52,27.99901568400144,EU
Bulgaria,paper bag,2018,0.002047244094488189,5542.915,5852.042383864512,EU
Bulgaria,plastic bag,2018,1.65,17.64,18.62377966311408,EU
China,textile bag,2018,254.48284,2770.0,2924.48240741644,China
China,paper bag,2018,3045.629606299213,231.775,244.7010505339153,China
China,plastic bag,2018,88373.09,9.71,10.251524973290122,China
Croatia,plastic bag,2018,5.2,12.11,12.78537254650292,EU
Cyprus,paper bag,2018,0.3222047244094488,354.33,374.0909210902047,EU
Czech Republic,textile bag,2018,0.0011200000000000001,7820.0,8256.12000938504,EU
Czech Republic,paper bag,2018,12.598740157480314,194.31,205.1466341462413,EU
Czech Republic,plastic bag,2018,24.92,4.84,5.10992593931248,EU
Denmark,textile bag,2018,0.01768,13460.0,14210.661806435119,EU
Denmark,paper bag,2018,18.16283464566929,416.56,439.7914771239683,EU
Denmark,plastic bag,2018,63.79,14.18,14.970816078398958,EU
Estonia,textile bag,2018,0.00342,151540.0,159991.35885194488,EU
Finland,textile bag,2018,0.0004,120650.0,127378.6290450518,EU
Finland,paper bag,2018,37.16110236220472,107.315,113.29993846638818,EU
Finland,plastic bag,2018,0.12,228.79,241.54957761473185,EU
France,textile bag,2018,0.08258,6030.0,6366.29202769716,EU
France,paper bag,2018,152.49590551181103,263.52500000000003,278.22174238787636,EU
France,plastic bag,2018,224.82,54.87,57.93009014257763,EU
Germany,textile bag,2018,0.08754,6080.0,6419.08051880576,EU
Germany,paper bag,2018,1159.6173228346456,232.41,245.37146437099452,EU
Germany,plastic bag,2018,1497.33,23.9,25.2328987499108,EU
Greece,paper bag,2018,1.117007874015748,244.475,258.1093272754997,EU
Greece,plastic bag,2018,9.23,72.67,76.72279297723924,EU
Hungary,textile bag,2018,0.00027,102600.0,108321.9837548472,EU
Hungary,paper bag,2018,3.1836220472440946,313.69,331.1844355171347,EU
Hungary,plastic bag,2018,36.06,1.21,1.27748148482812,EU
India,textile bag,2018,2.0620100000000003,1980.0,2090.4242479005597,India
India,paper bag,2018,114.83464566929133,151.76500000000001,160.2289070619336,India
India,plastic bag,2018,10435.85,7.59,8.013292950285479,India
Ireland,textile bag,2018,0.00028000000000000003,210600.0,222345.12454942317,EU
Ireland,paper bag,2018,3.073543307086614,177.79999999999998,187.71587438218157,EU
Ireland,plastic bag,2018,134.95,4.2,4.4342332531224,EU
Italy,textile bag,2018,0.07149,37550.0,39644.1568225586,EU
Italy,paper bag,2018,265.7379527559055,187.96,198.44249577544912,EU
Italy,plastic bag,2018,365.01,4.73,4.993791258873561,EU
Latvia,paper bag,2018,0.03590551181102362,1517.015,1601.6186567822567,EU
Lithuania,textile bag,2018,0.00115,7780.0,8213.889216498159,EU
Lithuania,paper bag,2018,0.03653543307086614,948.6899999999999,1001.5982725963545,EU
Luxembourg,paper bag,2018,0.015433070866141731,375.285,396.214577713819,EU
Netherlands,textile bag,2018,0.00792,13990.0,14770.21981218628,EU
Netherlands,paper bag,2018,134.75448818897638,174.625,184.3638051967855,EU
Netherlands,plastic bag,2018,159.35,24.64,26.01416841831808,EU
Poland,textile bag,2018,2.00374,20.0,21.115396443439998,EU
Poland,paper bag,2018,52.317480314960626,330.835,349.28560911827356,EU
Poland,plastic bag,2018,28.61,39.22,41.40729242558583,EU
Portugal,textile bag,2018,0.08796999999999999,2870.0,3030.0593896336395,EU
Portugal,paper bag,2018,15.363937007874016,202.565,213.86201402827118,EU
Portugal,plastic bag,2018,2.25,98.0,103.465442572856,EU
Romania,textile bag,2018,0.00015,95130.0,100435.38318322235,EU
Romania,paper bag,2018,0.597007874015748,312.42,329.8436078429762,EU
Romania,plastic bag,2018,0.03,476.62,503.20101264361864,EU
Slovakia,paper bag,2018,1.800787401574803,562.61,593.9866596521888,EU
Slovakia,plastic bag,2018,2.1,41.97,44.310659436558836,EU
Slovenia,paper bag,2018,0.08125984251968504,511.81000000000006,540.3535526858514,EU
Slovenia,plastic bag,2018,0.13,1001.41,1057.2584576212626,EU
Spain,textile bag,2018,0.07031,5900.0,6229.0419508148,EU
Spain,paper bag,2018,184.74818897637795,215.9,227.9407046069348,EU
