Country,product,Year,values,price_per_thousands,US_inflation_adjusted_price,qty_in_thousands
Germany,plastic bag,2018,50034445,23.9,25.2328987499108,2093491.4225941424
Greece,paper bag,2018,1216699,244.475,258.1093272754997,4976.782902137233
Greece,plastic bag,2018,823593,72.67,76.72279297723924,11333.32874638778
Guatemala,textile bag,2018,966249,820.0,865.73125418104,1178.3524390243902
Guatemala,paper bag,2018,26051,152.4,160.8993208990128,170.93832020997374
Guatemala,plastic bag,2018,752412,11.68,12.331391522968957,64418.83561643836
Honduras,textile bag,2018,7323559,25460.0,26879.89967249912,287.6496072270228
Honduras,paper bag,2018,75624,530.86,560.4659677982279,142.4556380213239
Honduras,plastic bag,2018,3909948,7.54,7.960504459176879,518560.7427055703
Hong Kong,textile bag,2018,9274192,1070.0,1129.67370972404,8667.469158878504
Hong Kong,paper bag,2018,6215635,269.875,284.9258807586685,23031.53311718388
Hong Kong,plastic bag,2018,12602745,13.25,13.988950143778998,951150.5660377359
Hungary,textile bag,2018,328056,102600.0,108321.9837548472,3.1974269005847953
Hungary,paper bag,2018,1047946,313.69,331.1844355171347,3340.7057923427587
Hungary,plastic bag,2018,51497,1.21,1.27748148482812,42559.50413223141
India,textile bag,2018,223490628,1980.0,2090.4242479005597,112874.05454545455
India,paper bag,2018,48696330,151.76500000000001,160.2289070619336,320866.6688630448
India,plastic bag,2018,95983345,7.59,8.013292950285479,12646027.009222662
Indonesia,textile bag,2018,17547419,5290.0,5585.02235928988,3317.092438563327
Indonesia,paper bag,2018,42915199,206.375,217.88449705074652,207947.6632344034
Indonesia,plastic bag,2018,4201550,5.74,6.060118779267279,731977.3519163763
Ireland,textile bag,2018,724594,210600.0,222345.12454942317,3.4406172839506173
Ireland,paper bag,2018,5403563,177.79999999999998,187.71587438218157,30391.242969628798
Ireland,plastic bag,2018,918537,4.2,4.4342332531224,218699.2857142857
Israel,textile bag,2018,674786,11730.0,12384.18001407756,57.52651321398125
Israel,paper bag,2018,9903452,521.335,550.4097602420396,18996.330574390744
Israel,plastic bag,2018,7846364,6.06,6.3979651223623195,1294779.5379537954
Italy,textile bag,2018,5514938,37550.0,39644.1568225586,146.8691877496671
Italy,paper bag,2018,76269209,187.96,198.44249577544912,405773.61672696314
Italy,plastic bag,2018,7999926,4.73,4.993791258873561,1691316.2790697673
Japan,textile bag,2018,1064323,4140.0,4370.88706379208,257.0828502415459
Japan,paper bag,2018,284837172,215.26500000000001,227.2702907698556,1323193.1433349592
Japan,plastic bag,2018,15898796,8.61,9.090178168900918,1846550.0580720094
Jordan,plastic bag,2018,146590,28.92,30.53286325721424,5068.810511756569
Kenya,textile bag,2018,11835,9710.0,10251.52497329012,1.2188465499485066
Laos,plastic bag,2018,2633314,9.23,9.744755458647559,285299.45828819065
Latvia,paper bag,2018,70668,1517.015,1601.6186567822567,46.58358684653744
Lebanon,paper bag,2018,50121,1189.99,1256.3555306864582,42.11884133480113
Lithuania,textile bag,2018,27925,7780.0,8213.889216498159,3.589331619537275
Lithuania,paper bag,2018,150483,948.6899999999999,1001.5982725963545,158.6218891313285
Luxembourg,paper bag,2018,131411,375.285,396.214577713819,350.1632092942697
Malaysia,textile bag,2018,922165,6060.0,6397.96512236232,152.1724422442244
Malaysia,paper bag,2018,5854823,190.5,201.12415112376598,30733.97900262467
Malaysia,plastic bag,2018,118352885,11.39,12.025218274539078,10390946.883230904
Mexico,textile bag,2018,118635183,11950.0,12616.4493749554,9927.630376569037
Mexico,paper bag,2018,455506245,200.025,211.1803586799543,2277246.5691788527
Mexico,plastic bag,2018,234377882,15.73,16.60725930276556,14900056.071201526
Morocco,textile bag,2018,46187,509790.0,538220.8976450638,0.09060005100139273
Nepal,textile bag,2018,37685,710.0,749.59657374212,53.07746478873239
Nepal,paper bag,2018,301019,1728.47,1824.8664645296367,174.15344206147634
Netherlands,textile bag,2018,869746,13990.0,14770.21981218628,62.16912080057184
Netherlands,paper bag,2018,30696160,174.625,184.3638051967855,175783.30708661416
Netherlands,plastic bag,2018,5327502,24.64,26.01416841831808,216213.5551948052
New Zealand,textile bag,2018,2440927,36110.0,38123.848278630925,67.59698144558294
New Zealand,paper bag,2018,402861,616.585,650.9718358039227,653.3746361004565
New Zealand,plastic bag,2018,98628,57.73,60.94959183398956,1708.4358219296728
Norway,paper bag,2018,128288,14041.755,14824.861179332791,9.136179914832583
Norway,plastic bag,2018,15558,6.66,7.03142701566552,2336.036036036036
Oman,plastic bag,2018,4156901,33.2,35.0515580961104,125207.86144578313
Pakistan,textile bag,2018,3649506,1240.0,1309.15457949328,2943.15
Pakistan,paper bag,2018,34582,338.455,357.33057516322424,102.17606476488751
Pakistan,plastic bag,2018,216450,4.92,5.19438752508624,43993.902439024394
Panama,paper bag,2018,10164,1047.115,1105.5124173436338,9.706670232018451
Panama,plastic bag,2018,37144,2876.0,3036.3940085666723,12.915159944367177
Peru,textile bag,2018,10959,1200.0,1266.9237866064,9.1325
Peru,paper bag,2018,671626,484.505,511.5257576914448,1386.210668620551
Peru,plastic bag,2018,1699426,2.36,2.49161678032592,720095.7627118644
Philippines,textile bag,2018,14872141,4050.0,4275.867779796599,3672.1335802469134
Philippines,paper bag,2018,1771386,4392.295,4637.252511076964,403.29394997376085
Philippines,plastic bag,2018,15917931,6.75,7.126446299661,2358212.0
Poland,textile bag,2018,1305267,20.0,21.115396443439998,65263.35
Poland,paper bag,2018,18343794,330.835,349.28560911827356,55446.95694228241
Poland,plastic bag,2018,1660468,39.22,41.40729242558583,42337.27689954105
Portugal,textile bag,2018,1034463,2870.0,3030.0593896336395,360.44006968641116
Portugal,paper bag,2018,3374597,202.565,213.86201402827118,16659.329104238146
Portugal,plastic bag,2018,363001,98.0,103.465442572856,3704.091836734694
Qatar,plastic bag,2018,2693710,10.02,10.578813618163439,268833.3333333334
Romania,textile bag,2018,44908,95130.0,100435.38318322235,0.4720697992221171
Romania,paper bag,2018,227916,312.42,329.8436078429762,729.5179565968888
Romania,plastic bag,2018,13772,476.62,503.20101264361864,28.895136586798706
Russia,paper bag,2018,164572,334.01,352.6376783036697,492.71578695248644
Russia,plastic bag,2018,137650,178.77,188.73997110968844,769.9837780388208
Singapore,textile bag,2018,172784,3470.0,3663.52128293684,49.793659942363114
Singapore,paper bag,2018,3026295,269.875,284.9258807586685,11213.691523853637
Singapore,plastic bag,2018,7961610,14.17,14.96025838017724,561863.796753705
Slovakia,paper bag,2018,1044893,562.61,593.9866596521888,1857.224365013064
Slovakia,plastic bag,2018,190523,41.97,44.310659436558836,4539.504407910413
Slovenia,paper bag,2018,82014,511.81000000000006,540.3535526858514,160.24305894765635
Slovenia,plastic bag,2018,192935,1001.41,1057.2584576212626,192.66334468399558
South Africa,textile bag,2018,5354025,18740.0,19785.12646750328,285.7003735325507
South Africa,paper bag,2018,317132,193.04,203.80580647208285,1642.8305014504767
South Africa,plastic bag,2018,2406406,57.39,60.59063009445108,41930.754486844395
South Korea,textile bag,2018,9201114,11710.0,12363.06461763412,785.7484201537147
South Korea,paper bag,2018,71827738,261.62,276.21050087663866,274549.8738628545
South Korea,plastic bag,2018,106703709,1.69,1.7842509994706799,63138289.34911243
Spain,textile bag,2018,1517774,5900.0,6229.0419508148,257.2498305084746
Spain,paper bag,2018,43909736,215.9,227.9407046069348,203379.97220935617
Spain,plastic bag,2018,10602314,6.16,6.50354210457952,1721154.87012987
Sri Lanka,textile bag,2018,20368249,19620.0,20714.20391101464,1038.1370540265036
Sri Lanka,paper bag,2018,258289,283.84499999999997,299.6749851744113,909.9649456569607
Sri Lanka,plastic bag,2018,16417165,5.55,5.8595225130546,2958047.7477477477
Sweden,textile bag,2018,307936,36960.0,39021.25262747712,8.331601731601731
Sweden,paper bag,2018,8032313,236.855,250.06436123054903,33912.364104620974
Sweden,plastic bag,2018,1476373,90.51,95.55772660478773,16311.711413103523
Switzerland,textile bag,2018,291642,10170.0,10737.179091489239,28.67669616519174
Switzerland,paper bag,2018,20920693,1297.305,1369.6554691528465,16126.27177109469
Switzerland,plastic bag,2018,9951656,15.75,16.628374699209,631851.1746031746
Taiwan,textile bag,2018,12065281,5370.0,5669.483945063641,2246.7934823091246
Taiwan,paper bag,2018,174125525,189.865,200.45373728668676,917101.7565112053
Taiwan,plastic bag,2018,107601141,11.4,12.0357759727608,9438696.578947369
Thailand,textile bag,2018,7666112,5210.0,5500.56077351612,1471.4226487523993
Thailand,paper bag,2018,6056319,437.515,461.91513374758256,13842.54025576266
Thailand,plastic bag,2018,197525727,8.33,8.794562618692758,23712572.268907562
Tunisia,textile bag,2018,156721,12110.0,12785.37254650292,12.941453344343518
Turkey,textile bag,2018,14774102,7880.0,8319.46619871536,1874.8860406091371
Turkey,paper bag,2018,6895965,143.51,151.51352717990372,48052.1566441363
Turkey,plastic bag,2018,26399243,16.96,17.90585618403712,1556559.1391509434
Ukraine,textile bag,2018,26766,640.0,675.6926861900799,41.821875
Ukraine,paper bag,2018,129600,379.09499999999997,400.2370607362943,341.86681438689516
United Arab Em,paper bag,2018,66598,734.695,775.6688095006576,90.64713928909275
United Arab Em,plastic bag,2018,314713,11.98,12.64812246962056,26269.866444073454
United Kingdom,textile bag,2018,3333458,8750.0,9237.985944005,380.96662857142854
United Kingdom,paper bag,2018,98557260,448.31,473.3121689779293,219841.76128125627
United Kingdom,plastic bag,2018,14223568,5.86,6.186811157927921,2427230.0341296927
Venezuela,plastic bag,2018,41924,1.25,1.3197122777149999,33539.2
Vietnam,textile bag,2018,116009897,6420.0,6778.0422583442405,18070.07741433022
Vietnam,paper bag,2018,34472553,208.915,220.56615239906333,165007.55331115526
Vietnam,plastic bag,2018,99859325,11.17,11.79294891366124,8939957.475380484
Argentina,paper bag,2019,55965,2750.82,2835.0573430566,20.34484262874343
Argentina,plastic bag,2019,1105483,562.74,579.9725788062001,1964.4649394036321
Australia,textile bag,2019,326632,4960.0,5111.8882447999995,65.85322580645162
Australia,paper bag,2019,3729073,207.645,214.00363600635,17958.886561198196
Australia,plastic bag,2019,467090,61.33,63.2080858979,7616.011739768466
Austria,textile bag,2019,242805,5550.0,5719.9555965,43.74864864864865
Austria,paper bag,2019,7603085,205.74,212.0402998962,36954.82161951978
Austria,plastic bag,2019,890166,465.29,479.5384035127,1913.142341335511
Bangladesh,textile bag,2019,108152972,13600.0,14016.467768,7952.424411764706
Bangladesh,plastic bag,2019,2810192,7.82,8.0594689666,359359.59079283883
Belgium,textile bag,2019,772283,12700.0,13088.907401,60.80968503937008
Belgium,paper bag,2019,37093144,304.165,313.47933225395,121950.73068893528
Belgium,plastic bag,2019,2725814,3.97,4.0915718411,686603.0226700251
Bolivia,plastic bag,2019,921,6.14,6.328022948199999,150.0
Bosnia-Herzegov,textile bag,2019,269933,6250.0,6441.3914374999995,43.18928
Brazil,textile bag,2019,664848,13380.0,13789.730789399999,49.68968609865471
Brazil,paper bag,2019,43968430,98.425,101.43903235775,446720.1422402845
Brazil,plastic bag,2019,10225051,17.18,17.7060967834,595171.769499418
Bulgaria,paper bag,2019,208455,2223.1349999999998,2291.2132405450498,93.76623551876068
Bulgaria,plastic bag,2019,36340,12.28,12.656045896399998,2959.28338762215
Burma,textile bag,2019,7509284,4059.9999999999995,4184.327877799999,1849.5773399014781
Cambodia,textile bag,2019,21034079,3140.0,3236.1550582,6698.75127388535
Cambodia,paper bag,2019,2259475,156.845,161.64800640235,14405.782779176894
Cambodia,plastic bag,2019,44891107,11.81,12.1716532603,3801109.822184589
Canada,textile bag,2019,32840144,2380.0,2452.8818594,13798.379831932773
Canada,paper bag,2019,773335651,152.4,157.066888812,5074380.91207349
Canada,plastic bag,2019,548204102,17.98,18.5305948874,30489660.84538376
Chile,paper bag,2019,7884367,104.77499999999999,107.98348605825,75250.460510618
Chile,plastic bag,2019,961441,11.19,11.5326672297,85919.66041108132
China,textile bag,2019,1097307453,2880.0,2968.1931744000003,381009.53229166666
China,paper bag,2019,782045667,212.725,219.23919896675,3676322.3269479377
China,plastic bag,2019,774068628,8.85,9.1210102755,87465381.69491526
Colombia,textile bag,2019,3600936,5890.0,6070.3672907,611.3643463497453
Colombia,paper bag,2019,3691156,106.045,109.29237679835,34807.449667593944
Colombia,plastic bag,2019,5847315,10.85,11.1822555355,538923.0414746543
Costa Rica,paper bag,2019,1747689,238.76,246.07145913879998,7319.856759926286
Costa Rica,plastic bag,2019,4669399,8.02,8.2655934926,582219.3266832918
Croatia,plastic bag,2019,48238,3.83,3.9472846729,12594.778067885118
Cyprus,paper bag,2019,100331,497.205,512.4307247491499,201.79000613429068
Czech Republic,textile bag,2019,93669,4670.0,4813.0076821,20.0576017130621
Czech Republic,paper bag,2019,2748114,217.17,223.8203165571,12654.206382096976
Czech Republic,plastic bag,2019,306779,26.37,27.1775187531,11633.636708380734
Denmark,textile bag,2019,1109254,17550.0,18087.427156499998,63.205356125356126
Denmark,paper bag,2019,10791964,302.26,311.5159961438,35704.24138159201
Denmark,plastic bag,2019,1288664,6.22,6.410472758599999,207180.7073954984
Dominican Rep,textile bag,2019,46956,10970.0,11305.9302511,4.280401093892434
Dominican Rep,paper bag,2019,12742685,137.795,142.01464530085,92475.67037991219
Dominican Rep,plastic bag,2019,1251137,22.81,23.508502190299996,54850.37264357738
Ecuador,plastic bag,2019,6362724,12.26,12.6354334438,518982.38172920066
Egypt,paper bag,2019,75160,146.685,151.17688048155,512.3904966424651
Egypt,plastic bag,2019,1187747,6.88,7.090683694399999,172637.64534883722
El Salvador,textile bag,2019,409902,4850.0,4998.5197554999995,84.5158762886598
El Salvador,paper bag,2019,853994,327.02500000000003,337.03936557575,2611.4027979512266
El Salvador,plastic bag,2019,1475251,14.66,15.108927755799998,100631.03683492496
Estonia,textile bag,2019,2169620,151560.0,156201.1658028,14.315254684613354
Finland,textile bag,2019,1260640,44630.0,45996.6879769,28.246470983643288
Finland,paper bag,2019,9290853,178.435,183.89914898405,52068.55717768375
Finland,plastic bag,2019,365708,119.92,123.5922657896,3049.5997331554368
France,textile bag,2019,3018616,8260.0,8512.9429238,365.4498789346247
France,paper bag,2019,92272028,261.62,269.6314924606,352694.8551333996
France,plastic bag,2019,32781118,36.2,37.308539206,905555.7458563535
Germany,textile bag,2019,6197745,8010.0,8255.2872663,773.7509363295881
Germany,paper bag,2019,357862118,233.045,240.18145080835,1535592.3448261067
Germany,plastic bag,2019,46125219,29.87,30.7846979581,1544198.828255775
Greece,paper bag,2019,1703596,232.41,239.5270054383,7330.13209414397
Greece,plastic bag,2019,993540,5.86,6.0394486118,169546.07508532424
Guatemala,textile bag,2019,1731873,1170.0,1205.8284770999999,1480.2333333333333
Guatemala,paper bag,2019,32770,647.6999999999999,667.534277451,50.59441099274356
Guatemala,plastic bag,2019,802687,1.91,1.9684892232999998,420254.97382198955
Honduras,textile bag,2019,9580698,25120.0,25889.2404656,381.3972133757962
Honduras,paper bag,2019,51176,454.02500000000003,467.92843958575,112.7162601178349
Honduras,plastic bag,2019,4328065,5.84,6.0188361592,741107.0205479452
Hong Kong,textile bag,2019,1922605,2009.9999999999998,2071.5514863,956.5199004975126
Hong Kong,paper bag,2019,2752025,281.94,290.5737443022,9761.030715755125
Hong Kong,plastic bag,2019,7394990,9.31,9.595096685300001,794306.1224489795
Hungary,textile bag,2019,444207,28550.0,29424.276086500002,15.55891418563923
Hungary,paper bag,2019,833500,297.815,306.93487855344995,2798.7173245135405
Hungary,plastic bag,2019,132489,6.28,6.4723101164,21096.974522292992
India,textile bag,2019,251147883,1520.0,1566.5463975999999,165228.87039473685
India,paper bag,2019,72059170,156.21,160.99356103230002,461296.77997567377
India,plastic bag,2019,104439842,8.14,8.3892682082,12830447.420147419
Indonesia,textile bag,2019,16909198,8730.0,8997.3355599,1936.906987399771
Indonesia,paper bag,2019,64527828,158.75,163.61134251250002,406474.50708661415
